Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","data-generator/predefinedGenerator/createSourceTable/athenaQueryStartFn/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","data-generator/predefinedGenerator/createSourceTable/athenaQueryStartFn/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","data-generator/predefinedGenerator/createSourceTable/athenaQueryStartFn/ServiceRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","data-generator/predefinedGenerator/createSourceTable/athenaQueryStartWaitFn/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","data-generator/predefinedGenerator/createSourceTable/athenaQueryStartWaitFn/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","data-generator/predefinedGenerator/createSourceTable/athenaQueryStartWaitFn/ServiceRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","data-generator/predefinedGenerator/createSourceTable/synchronousAthenaQueryCRP/framework-onEvent/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","data-generator/predefinedGenerator/createSourceTable/synchronousAthenaQueryCRP/framework-onEvent/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","data-generator/predefinedGenerator/createSourceTable/synchronousAthenaQueryCRP/framework-onEvent/ServiceRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","data-generator/predefinedGenerator/createSourceTable/synchronousAthenaQueryCRP/framework-isComplete/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
