Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-KMS5","eks-emr-studio/platform1/KMS-key-notebook1/Resource","Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-EC23","eks-emr-studio/platform1/workspaceSecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","eks-emr-studio/platform1/workspaceSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","eks-emr-studio/platform1/engineSecurityGroup/Resource","UNKNOWN","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","eks-emr-studio/platform1/engineSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-S1","eks-emr-studio/platform1/WorkspacesBucketnotebook1/Resource","Non-Compliant","N/A","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","eks-emr-studio/platform1/WorkspacesBucketnotebook1/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S3","eks-emr-studio/platform1/WorkspacesBucketnotebook1/Resource","Compliant","N/A","Error","The S3 Bucket does not default encryption enabled."
"AwsSolutions-S10","eks-emr-studio/platform1/WorkspacesBucketnotebook1/Resource","Compliant","N/A","Error","The S3 Bucket does not require requests to use SSL."
"AwsSolutions-IAM5","eks-emr-studio/platform1/studioServicePolicynotebook1/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","eks-emr-studio/platform1/studioServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","eks-emr-studio/platform1/studioServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","eks-emr-studio/platform1/vincent0ExecutionRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","eks-emr-studio/platform1/vincent0ExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","eks-emr-studio/platform1/studioSessionPolicyvincent/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","eks-emr-studio/platform1/uservincent/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","eks-emr-studio/platform1/uservincent/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
